iter	RMSE
0	7.702883182
1	7.65402175
2	7.600966788
3	7.550463213
4	7.500991266
5	7.450510788
6	7.402926042
7	7.355957591
8	7.309981194
9	7.26469211
10	7.219872356
11	7.172695464
12	7.127326408
13	7.081385712
14	7.039072576
15	6.998044916
16	6.952246596
17	6.907218675
18	6.864786084
19	6.822864191
20	6.78201347
21	6.738816608
22	6.699599116
23	6.659380643
24	6.61695859
25	6.578240717
26	6.538693839
27	6.501098355
28	6.463618261
29	6.424171137
30	6.38723622
31	6.350294437
32	6.31454552
33	6.278745112
34	6.243046424
35	6.208773495
36	6.173724926
37	6.141799897
38	6.107120872
39	6.073217496
40	6.03764991
41	6.006053288
42	5.971741695
43	5.940121294
44	5.908312776
45	5.877727696
46	5.845355679
47	5.813149975
48	5.782156539
49	5.752756408
50	5.723696809
51	5.697008566
52	5.668757448
53	5.640324923
54	5.611247059
55	5.583610409
56	5.558453825
57	5.531461455
58	5.50246036
59	5.478085885
60	5.450285212
61	5.424812499
62	5.397186847
63	5.371212452
64	5.347125433
65	5.321703293
66	5.298070054
67	5.272388164
68	5.248873608
69	5.223807605
70	5.199638923
71	5.17624464
72	5.152194663
73	5.128379318
74	5.105655962
75	5.084306757
76	5.061702814
77	5.03913739
78	5.01750741
79	4.999614627
80	4.97827536
81	4.958346294
82	4.938341005
83	4.91973789
84	4.900016782
85	4.881065129
86	4.861042002
87	4.841927797
88	4.824041144
89	4.805549384
90	4.787209127
91	4.768466509
92	4.751119299
93	4.73245854
94	4.714317224
95	4.696585926
96	4.678954094
97	4.661505657
98	4.643873683
99	4.627042478
100	4.610983607
101	4.595786471
102	4.579296078
103	4.563592475
104	4.549412986
105	4.533576192
106	4.519204606
107	4.503485649
108	4.487282915
109	4.47347438
110	4.459073179
111	4.445550307
112	4.431997258
113	4.418124746
114	4.40370675
115	4.390243664
116	4.377244226
117	4.363371693
118	4.350019951
119	4.336636013
120	4.323459225
121	4.311489916
122	4.30052813
123	4.28753045
124	4.276089967
125	4.263802388
126	4.251788064
127	4.240313527
128	4.229668085
129	4.217984188
130	4.207237213
131	4.197690642
132	4.186461613
133	4.176804081
134	4.167383587
135	4.156354527
136	4.146081156
137	4.137045655
138	4.127102482
139	4.11737054
140	4.106442733
141	4.097333272
142	4.086629687
143	4.077363251
144	4.066680703
145	4.056931751
146	4.048536196
147	4.039713928
148	4.030858043
149	4.022775604
150	4.013625165
151	4.007069236
152	3.998593462
153	3.98972356
154	3.980803615
155	3.973140327
156	3.966304305
157	3.958794755
158	3.950518927
159	3.942192685
160	3.933730622
161	3.925781722
162	3.919154256
163	3.913186804
164	3.906342872
165	3.900101118
166	3.893851825
167	3.887440932
168	3.879834689
169	3.873676749
170	3.867610459
171	3.861004328
172	3.854036058
173	3.848421452
174	3.843013943
175	3.836773068
176	3.830623685
177	3.825519675
178	3.819360331
179	3.8127651
180	3.807630808
181	3.802068791
182	3.797610084
183	3.791990553
184	3.786146991
185	3.780652263
186	3.774777752
187	3.77053313
188	3.765185877
189	3.76030861
190	3.755719956
191	3.750118936
192	3.745497385
193	3.739558246
194	3.735743075
195	3.731295464
196	3.727464329
197	3.72344997
198	3.717901436
199	3.712478325
200	3.707796651
201	3.702699531
202	3.697874354
203	3.693477971
204	3.68974634
205	3.685327598
206	3.680819613
207	3.676488046
208	3.671790735
209	3.668467412
210	3.664589968
211	3.661196425
212	3.65742114
213	3.654511018
214	3.65047954
215	3.646629853
216	3.642595229
217	3.638998275
218	3.634757762
219	3.630906574
220	3.628070428
221	3.625359602
222	3.621679573
223	3.618845668
224	3.616077189
225	3.612594258
226	3.60931456
227	3.606183307
228	3.602991793
229	3.599956568
230	3.597557782
231	3.59447535
232	3.591336337
233	3.588949303
234	3.586125032
235	3.583432063
236	3.580028993
237	3.578123051
238	3.575629564
239	3.573212982
240	3.570290604
241	3.567946598
242	3.565102396
243	3.562767893
244	3.560352683
245	3.558135747
246	3.556159631
247	3.553411827
248	3.551482614
249	3.549780886
250	3.548057629
251	3.545816306
252	3.543628266
253	3.541884829
254	3.53972282
255	3.5380914
256	3.536092061
257	3.534110599
258	3.532061723
259	3.530001031
260	3.528086026
261	3.526603236
262	3.524351458
263	3.521987601
264	3.520338553
265	3.518137893
266	3.516769222
267	3.514413279
268	3.512353454
269	3.510396011
270	3.508555267
271	3.507204586
272	3.505005344
273	3.502993215
274	3.501249225
275	3.499328547
276	3.497806275
277	3.496281901
278	3.494818752
279	3.492845254
