iter	Passed	Remaining
0	28	28511
1	60	30176
2	94	31494
3	124	31052
4	155	31026
5	185	30805
6	217	30904
7	243	30252
8	271	29925
9	298	29579
10	327	29428
11	355	29305
12	385	29264
13	422	29738
14	451	29650
15	479	29513
16	513	29665
17	543	29654
18	573	29597
19	607	29775
20	636	29670
21	666	29643
22	695	29543
23	725	29487
24	755	29474
25	791	29642
26	824	29708
27	863	29991
28	963	32254
29	1034	33443
30	1078	33711
31	1132	34249
32	1197	35096
33	1254	35633
34	1291	35616
35	1325	35482
36	1354	35249
37	1383	35016
38	1412	34795
39	1439	34545
40	1469	34360
41	1495	34121
42	1523	33895
43	1551	33706
44	1582	33591
45	1614	33490
46	1645	33355
47	1676	33250
48	1704	33089
49	1736	32986
50	1764	32836
51	1792	32685
52	1820	32533
53	1853	32475
54	1891	32505
55	1922	32408
56	1953	32314
57	1980	32163
58	2010	32058
59	2038	31941
60	2068	31835
61	2096	31720
62	2126	31629
63	2155	31530
64	2182	31399
65	2221	31441
66	2262	31509
67	2294	31449
68	2325	31373
69	2352	31258
70	2384	31193
71	2414	31119
72	2444	31036
73	2474	30958
74	2501	30855
75	2530	30764
76	2558	30663
77	2586	30568
78	2615	30496
79	2641	30375
80	2670	30302
81	2697	30195
82	2724	30105
83	2753	30021
84	2786	29992
85	2814	29910
86	2843	29843
87	2871	29760
88	2900	29684
89	2929	29618
90	2958	29548
91	2986	29474
92	3014	29401
93	3043	29332
94	3071	29258
95	3100	29195
96	3130	29141
97	3159	29084
98	3188	29019
99	3216	28952
100	3246	28898
101	3278	28866
102	3310	28831
103	3340	28780
104	3369	28716
105	3399	28674
106	3427	28606
107	3455	28538
108	3483	28477
109	3514	28436
110	3545	28392
111	3574	28338
112	3603	28289
113	3635	28257
114	3665	28210
115	3695	28164
116	3724	28106
117	3752	28048
118	3779	27980
119	3808	27929
120	3837	27881
121	3867	27833
122	3898	27796
123	3929	27759
124	3958	27711
125	3987	27660
126	4017	27614
127	4048	27577
128	4077	27531
129	4107	27489
130	4138	27452
131	4166	27399
132	4198	27367
133	4228	27325
134	4255	27269
135	4284	27222
136	4313	27173
137	4340	27114
138	4370	27071
139	4399	27024
140	4430	26991
141	4462	26962
142	4496	26944
143	4526	26908
144	4556	26867
145	4588	26840
146	4619	26807
147	4650	26770
148	4680	26731
149	4711	26697
150	4742	26662
151	4767	26598
152	4798	26564
153	4831	26543
154	4860	26497
155	4891	26465
156	4922	26431
157	4953	26396
158	4984	26366
159	5016	26335
160	5045	26292
161	5074	26251
162	5103	26206
163	5144	26226
164	5175	26193
165	5204	26148
166	5236	26119
167	5269	26096
168	5300	26065
169	5331	26032
170	5363	26001
171	5394	25969
172	5424	25932
173	5455	25896
174	5483	25852
175	5514	25815
176	5543	25776
177	5573	25737
178	5601	25690
179	5631	25652
180	5658	25605
181	5692	25586
182	5721	25543
183	5751	25504
184	5779	25459
185	5806	25413
186	5835	25371
187	5865	25333
188	5895	25296
189	5926	25265
190	5955	25223
191	5984	25185
192	6016	25156
193	6046	25121
194	6074	25077
195	6103	25035
196	6131	24993
197	6161	24956
198	6193	24931
199	6226	24904
200	6259	24880
201	6291	24854
202	6320	24816
203	6348	24770
204	6380	24744
205	6409	24703
206	6465	24770
207	6494	24730
208	6522	24686
209	6552	24649
210	6580	24606
211	6604	24547
212	6634	24511
213	6658	24456
214	6686	24414
215	6717	24382
216	6746	24344
217	6780	24321
218	6808	24280
219	6839	24247
220	6870	24217
221	6895	24167
222	6925	24130
223	6955	24094
224	6983	24054
225	7012	24017
226	7040	23974
227	7071	23943
228	7118	23967
229	7157	23960
230	7192	23944
231	7227	23923
232	7262	23905
233	7301	23901
234	7334	23875
235	7364	23840
236	7393	23803
237	7422	23763
238	7450	23724
239	7481	23692
240	7512	23658
241	7541	23620
242	7570	23583
243	7593	23528
244	7624	23497
245	7655	23463
246	7684	23425
247	7714	23391
248	7745	23360
249	7774	23323
250	7805	23291
251	7834	23254
252	7865	23224
253	7895	23190
254	7929	23165
255	7963	23145
256	7998	23122
257	8032	23100
258	8062	23066
259	8094	23037
260	8122	22999
261	8151	22961
262	8181	22927
263	8212	22894
264	8240	22855
265	8269	22819
266	8297	22778
267	8325	22741
268	8354	22702
269	8384	22668
270	8413	22633
271	8443	22598
272	8472	22562
273	8501	22526
274	8530	22489
275	8558	22450
276	8587	22413
277	8616	22378
278	8647	22347
279	8676	22311
280	8708	22281
281	8740	22255
282	8772	22226
283	8805	22198
284	8834	22164
285	8872	22149
286	8906	22127
287	8943	22110
288	8980	22094
289	9016	22074
290	9053	22057
291	9083	22023
292	9112	21988
293	9144	21958
294	9173	21922
295	9193	21864
296	9223	21832
297	9255	21804
298	9288	21777
299	9319	21745
300	9349	21712
301	9379	21679
302	9409	21646
303	9440	21613
304	9470	21579
305	9500	21546
306	9530	21514
307	9559	21478
308	9589	21443
309	9628	21430
310	9661	21403
311	9694	21377
312	9705	21302
313	9736	21271
314	9766	21237
315	9796	21205
316	9825	21170
317	9857	21141
318	9888	21110
319	9919	21077
320	9948	21043
321	9976	21005
322	10003	20966
323	10032	20931
324	10060	20894
325	10088	20858
326	10117	20823
327	10142	20779
328	10172	20747
329	10205	20720
330	10236	20690
331	10265	20654
332	10296	20624
333	10328	20596
334	10359	20563
335	10388	20530
336	10416	20493
337	10445	20458
338	10472	20420
339	10501	20384
340	10531	20352
341	10561	20320
342	10591	20287
343	10622	20256
344	10652	20223
345	10681	20189
346	10709	20153
347	10741	20124
348	10770	20090
349	10799	20055
350	10827	20019
351	10858	19989
352	10890	19960
353	10919	19926
354	10947	19889
355	10975	19854
356	11004	19820
357	11035	19790
358	11064	19755
359	11092	19719
360	11120	19683
361	11153	19657
362	11181	19621
363	11211	19590
364	11244	19562
365	11275	19531
366	11303	19496
367	11334	19465
368	11361	19428
369	11390	19394
370	11420	19362
371	11450	19330
372	11477	19293
373	11506	19259
374	11533	19221
375	11563	19190
376	11598	19166
377	11648	19167
378	11683	19143
379	11720	19122
380	11748	19088
381	11781	19060
382	11815	19035
383	11851	19010
384	11881	18979
385	11912	18949
386	11945	18921
387	11977	18892
388	12009	18863
389	12043	18837
390	12076	18810
391	12109	18782
392	12140	18751
393	12170	18719
394	12198	18684
395	12227	18650
396	12251	18608
397	12282	18577
398	12311	18543
399	12334	18501
400	12364	18469
401	12393	18436
402	12422	18401
403	12450	18368
404	12479	18333
405	12509	18302
406	12539	18269
407	12567	18234
408	12595	18200
409	12627	18171
410	12662	18146
411	12690	18112
412	12720	18079
413	12748	18045
414	12778	18012
415	12809	17982
416	12839	17950
417	12869	17918
418	12899	17886
419	12927	17851
420	12946	17805
421	12976	17772
422	13004	17738
423	13034	17707
424	13064	17675
425	13093	17642
426	13122	17608
427	13149	17573
428	13178	17540
429	13207	17507
430	13238	17477
431	13267	17444
432	13296	17411
433	13324	17377
434	13352	17343
435	13384	17314
436	13422	17293
437	13446	17252
438	13484	17231
439	13516	17202
440	13545	17170
441	13577	17140
442	13606	17107
443	13638	17079
444	13671	17050
445	13704	17022
446	13737	16994
447	13769	16965
448	13779	16910
449	13809	16877
450	13837	16843
451	13861	16805
452	13892	16774
453	13935	16759
454	13973	16737
455	14006	16709
456	14038	16680
457	14054	16631
458	14084	16600
459	14117	16572
460	14147	16540
461	14177	16509
462	14206	16477
463	14237	16446
464	14257	16403
465	14284	16368
466	14312	16335
467	14327	16287
468	14357	16255
469	14386	16222
470	14418	16193
471	14447	16161
472	14476	16129
473	14505	16097
474	14534	16064
475	14552	16020
476	14582	15988
477	14613	15958
478	14643	15927
479	14674	15896
480	14703	15865
481	14733	15834
482	14766	15806
483	14802	15780
484	14841	15759
485	14882	15739
486	14915	15711
487	14950	15685
488	14986	15661
489	15023	15636
490	15053	15605
491	15083	15574
492	15094	15523
493	15123	15491
494	15154	15460
495	15183	15428
496	15218	15401
497	15253	15376
498	15288	15349
499	15316	15316
500	15351	15289
501	15384	15262
502	15412	15228
503	15441	15196
504	15471	15165
505	15499	15132
506	15527	15098
507	15555	15065
508	15583	15032
509	15613	15001
510	15641	14967
511	15668	14934
512	15699	14903
513	15732	14875
514	15770	14852
515	15807	14827
516	15843	14801
517	15879	14775
518	15915	14750
519	15948	14722
520	15977	14689
521	16006	14657
522	16035	14625
523	16064	14593
524	16095	14562
525	16123	14529
526	16154	14499
527	16184	14467
528	16216	14438
529	16247	14407
530	16277	14377
531	16309	14347
532	16341	14317
533	16372	14287
534	16407	14260
535	16421	14215
536	16451	14184
537	16483	14154
538	16515	14125
539	16545	14094
540	16575	14062
541	16604	14031
542	16633	13999
543	16657	13962
544	16687	13931
545	16698	13884
546	16712	13840
547	16740	13807
548	16770	13777
549	16803	13748
550	16814	13701
551	16851	13676
552	16881	13645
553	16897	13603
554	16930	13574
555	16960	13543
556	16992	13515
557	17026	13486
558	17058	13457
559	17088	13426
560	17118	13396
561	17146	13363
562	17174	13330
563	17203	13299
564	17233	13268
565	17263	13237
566	17293	13206
567	17322	13175
568	17354	13145
569	17386	13116
570	17417	13086
571	17448	13055
572	17481	13027
573	17522	13004
574	17554	12975
575	17588	12947
576	17622	12918
577	17659	12893
578	17692	12864
579	17726	12836
580	17759	12807
581	17795	12780
582	17837	12758
583	17876	12733
584	17915	12709
585	17951	12682
586	17982	12652
587	18013	12621
588	18045	12591
589	18055	12547
590	18086	12516
591	18116	12485
592	18148	12456
593	18177	12424
594	18211	12395
595	18242	12365
596	18274	12335
597	18306	12306
598	18337	12276
599	18368	12245
600	18397	12213
601	18428	12183
602	18459	12153
603	18488	12121
604	18518	12090
605	18549	12060
606	18581	12030
607	18614	12001
608	18645	11971
609	18674	11939
610	18706	11909
611	18735	11877
612	18766	11847
613	18796	11816
614	18815	11778
615	18844	11747
616	18876	11717
617	18907	11687
618	18939	11657
619	18969	11626
620	18994	11592
621	19023	11560
622	19056	11531
623	19086	11501
624	19116	11469
625	19144	11437
626	19173	11406
627	19204	11375
628	19233	11344
629	19263	11313
630	19292	11282
631	19331	11256
632	19361	11225
633	19370	11182
634	19380	11139
635	19409	11108
636	19437	11076
637	19461	11042
638	19480	11005
639	19510	10974
640	19538	10942
641	19568	10912
642	19598	10881
643	19627	10850
644	19659	10820
645	19690	10789
646	19720	10759
647	19752	10729
648	19785	10700
649	19817	10671
650	19847	10639
651	19875	10608
652	19885	10567
653	19912	10534
654	19940	10502
655	19969	10471
656	19999	10441
657	20029	10410
658	20058	10379
659	20077	10343
660	20107	10312
661	20138	10282
662	20169	10251
663	20198	10220
664	20224	10188
665	20253	10157
666	20283	10126
667	20313	10095
668	20341	10064
669	20377	10036
670	20386	9995
671	20416	9965
672	20444	9933
673	20472	9902
674	20501	9871
675	20530	9840
676	20561	9809
677	20590	9779
678	20629	9752
679	20679	9731
680	20716	9703
681	20749	9675
682	20785	9647
683	20820	9618
684	20874	9599
685	20905	9568
686	20935	9538
687	20964	9507
688	20993	9475
689	21022	9444
690	21052	9414
691	21083	9384
692	21113	9353
693	21143	9322
694	21164	9288
695	21194	9257
696	21223	9226
697	21251	9194
698	21279	9163
699	21308	9132
700	21338	9101
701	21367	9070
702	21377	9031
703	21407	9001
704	21431	8967
705	21461	8937
706	21490	8906
707	21521	8876
708	21550	8845
709	21581	8815
710	21609	8783
711	21640	8753
712	21667	8721
713	21697	8691
714	21727	8660
715	21759	8630
716	21795	8602
717	21828	8573
718	21863	8544
719	21896	8515
720	21931	8486
721	21964	8457
722	21985	8423
723	22014	8392
724	22047	8362
725	22057	8324
726	22089	8294
727	22118	8263
728	22146	8232
729	22176	8202
730	22207	8171
731	22236	8141
732	22265	8110
733	22296	8080
734	22326	8049
735	22358	8020
736	22370	7982
737	22401	7952
738	22431	7922
739	22460	7891
740	22490	7860
741	22521	7831
742	22550	7799
743	22576	7768
744	22606	7737
745	22635	7706
746	22663	7675
747	22691	7644
748	22722	7614
749	22751	7583
750	22783	7554
751	22814	7524
752	22846	7494
753	22877	7464
754	22909	7434
755	22945	7405
756	22977	7376
757	23015	7347
758	23048	7318
759	23079	7288
760	23104	7256
761	23137	7226
762	23167	7196
763	23198	7166
764	23229	7135
765	23260	7105
766	23289	7074
767	23319	7044
768	23350	7014
769	23382	6984
770	23413	6954
771	23446	6924
772	23477	6894
773	23508	6864
774	23522	6829
775	23550	6798
776	23587	6769
777	23623	6740
778	23654	6710
779	23683	6679
780	23716	6650
781	23748	6620
782	23781	6590
783	23814	6561
784	23846	6531
785	23875	6500
786	23905	6469
787	23935	6439
788	23964	6408
789	23993	6377
790	24021	6346
791	24052	6316
792	24078	6285
793	24106	6254
794	24138	6224
795	24167	6193
796	24177	6158
797	24205	6127
798	24235	6096
799	24265	6066
800	24294	6035
801	24326	6005
802	24359	5976
803	24386	5945
804	24415	5914
805	24447	5884
806	24476	5853
807	24505	5823
808	24536	5792
809	24566	5762
810	24596	5732
811	24615	5699
812	24647	5669
813	24678	5639
814	24706	5608
815	24734	5577
816	24764	5547
817	24797	5517
818	24826	5486
819	24843	5453
820	24872	5422
821	24900	5392
822	24930	5361
823	24970	5333
824	24998	5302
825	25027	5272
826	25055	5241
827	25085	5210
828	25115	5180
829	25148	5150
830	25177	5120
831	25188	5086
832	25218	5055
833	25255	5026
834	25284	4996
835	25316	4966
836	25348	4936
837	25378	4906
838	25407	4875
839	25437	4845
840	25466	4814
841	25495	4784
842	25525	4753
843	25555	4723
844	25583	4692
845	25612	4662
846	25641	4631
847	25652	4598
848	25693	4569
849	25732	4541
850	25750	4508
851	25786	4479
852	25820	4449
853	25856	4420
854	25890	4390
855	25922	4360
856	25954	4330
857	25982	4300
858	26010	4269
859	26039	4238
860	26068	4208
861	26097	4178
862	26125	4147
863	26157	4117
864	26185	4086
865	26204	4054
866	26233	4024
867	26262	3993
868	26292	3963
869	26325	3933
870	26353	3903
871	26395	3874
872	26428	3844
873	26462	3815
874	26494	3784
875	26524	3754
876	26555	3724
877	26582	3693
878	26614	3663
879	26645	3633
880	26677	3603
881	26706	3573
882	26734	3542
883	26765	3512
884	26794	3481
885	26824	3451
886	26855	3421
887	26885	3390
888	26915	3360
889	26948	3330
890	26984	3301
891	27016	3271
892	27055	3241
893	27089	3211
894	27122	3181
895	27153	3151
896	27163	3119
897	27192	3088
898	27220	3058
899	27250	3027
900	27280	2997
901	27310	2967
902	27340	2936
903	27371	2906
904	27402	2876
905	27432	2846
906	27461	2815
907	27491	2785
908	27505	2753
909	27518	2721
910	27550	2691
911	27581	2661
912	27615	2631
913	27631	2599
914	27664	2569
915	27699	2540
916	27732	2510
917	27743	2478
918	27773	2447
919	27803	2417
920	27830	2387
921	27859	2356
922	27887	2326
923	27915	2296
924	27946	2265
925	27977	2235
926	28006	2205
927	28036	2175
928	28066	2144
929	28093	2114
930	28122	2084
931	28151	2053
932	28180	2023
933	28211	1993
934	28241	1963
935	28250	1931
936	28285	1901
937	28297	1870
938	28331	1840
939	28363	1810
940	28409	1781
941	28444	1751
942	28475	1721
943	28503	1690
944	28537	1660
945	28566	1630
946	28598	1600
947	28630	1570
948	28663	1540
949	28694	1510
950	28723	1479
951	28755	1449
952	28785	1419
953	28816	1389
954	28847	1359
955	28875	1328
956	28907	1298
957	28937	1268
958	28968	1238
959	28996	1208
960	29026	1177
961	29062	1147
962	29077	1117
963	29098	1086
964	29127	1056
965	29163	1026
966	29199	996
967	29228	966
968	29259	936
969	29291	905
970	29321	875
971	29351	845
972	29380	815
973	29411	785
974	29421	754
975	29430	723
976	29460	693
977	29491	663
